         22091755 function calls (22085182 primitive calls) in 2610.721 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30 2590.339   86.345 2609.436   86.981 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\SCACOPF.py:245(run_jl)
   235/46    0.011    0.000    0.180    0.004 C:\ANACONDA3\lib\site-packages\pyomo\core\base\block.py:923(add_component)
    13920    0.011    0.000    0.013    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\wrapcache.py:25(add)
     4800    0.011    0.000    0.060    0.000 C:\ANACONDA3\lib\zipfile.py:214(_EndRecData64)
     7440    0.011    0.000    0.027    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:59(name)
    18292    0.010    0.000    0.011    0.000 {pyomo.core.expr.numvalue.as_numeric}
      480    0.010    0.000    0.022    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\meta.py:34(__init__)
     9900    0.010    0.000    0.010    0.000 {built-in method builtins.min}
     2400    0.010    0.000    0.037    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:24(__init__)
    11970    0.010    0.000    0.013    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\text.py:24(__init__)
      480    0.010    0.000    0.010    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\meta.py:51(_setup)
     1920    0.010    0.000    0.010    0.000 {method 'flush' of 'zlib.Decompress' objects}
     5926    0.009    0.000    0.009    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\label.py:101(__call__)
        2    0.009    0.005    0.009    0.005 {built-in method _winapi.CreateProcess}
      960    0.009    0.000    0.009    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\pagecontainer.py:25(_xmlchildren)
     2400    0.008    0.000    0.526    0.000 C:\ANACONDA3\lib\zipfile.py:1473(read)
       30    0.008    0.000    0.063    0.002 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\SCACOPF.py:551(output2json)
        2    0.008    0.004    0.027    0.014 C:\ANACONDA3\lib\site-packages\pyomo\solvers\plugins\solvers\GLPK.py:456(_process_soln_mip)
    11421    0.008    0.000    0.035    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:3895(<genexpr>)
     2400    0.008    0.000    0.083    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:69(register)
    12304    0.008    0.000    0.008    0.000 {built-in method builtins.max}
    15085    0.008    0.000    0.008    0.000 {built-in method _codecs.charmap_decode}
     2400    0.008    0.000    0.671    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:51(has_zip)
     1200    0.008    0.000    0.047    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:136(<listcomp>)
     6960    0.008    0.000   13.189    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablerowcontroller.py:64(__init__)
     7440    0.007    0.000   13.706    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\pagecontainer.py:23(<genexpr>)
    15000    0.007    0.000    0.007    0.000 {method 'find' of 'str' objects}
    50400    0.007    0.000    0.007    0.000 {method 'read' of '_io.BytesIO' objects}
      480    0.007    0.000    0.604    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:45(__init__)
     8640    0.007    0.000    0.398    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:129(rows)
    15000    0.007    0.000    0.013    0.000 C:\ANACONDA3\lib\encodings\cp437.py:14(decode)
